duel_id,modele_a_id,modele_a,modele_b_id,modele_b,titre_page,categorie,ecole_a,ecole_b,inter_ecoles,cylindree_a,cylindree_b,puissance_ch_a,puissance_ch_b,poids_a,poids_b,a2,score_priorite
triumph-speed-twin-900-vs-yamaha-xsr700,yamaha-xsr700,Yamaha XSR700,triumph-speed-twin-900,Triumph Speed Twin 900,Yamaha XSR700 ou Triumph Speed Twin 900 : lequel choisir ?,Roadster,japonaise,britannique,oui,689.6,900.0,74.8,65.0,186.0,216.0,non,244.4
ducati-desertx-vs-honda-crosstourer,ducati-desertx,Ducati DesertX,honda-crosstourer,Honda Crosstourer,Ducati DesertX ou Honda Crosstourer : lequel choisir ?,Trail / Aventure,italienne,japonaise,oui,937.0,1237.0,111.5,129.2,211.0,277.0,non,244.0
honda-crossrunner-vs-triumph-speed-twin-900,triumph-speed-twin-900,Triumph Speed Twin 900,honda-crossrunner,Honda Crossrunner,Triumph Speed Twin 900 ou Honda Crossrunner : lequel choisir ?,Roadster,britannique,japonaise,oui,900.0,782.0,65.0,101.8,216.0,240.4,non,241.8
ducati-panigale-v2-vs-kawasaki-ninja-zx-12r,kawasaki-ninja-zx-12r,Kawasaki ZX-12R,ducati-panigale-v2,Ducati Panigale V2,Kawasaki ZX-12R ou Ducati Panigale V2 : lequel choisir ?,Sportive,japonaise,italienne,oui,1199.0,955.0,181.0,157.1,247.21,205.0,non,240.5
ducati-panigale-v2-vs-honda-vtr1000f,honda-vtr1000f,Honda VTR 1000 F,ducati-panigale-v2,Ducati Panigale V2,Honda VTR 1000 F ou Ducati Panigale V2 : lequel choisir ?,Sportive,japonaise,italienne,oui,996.0,955.0,117.6,157.1,214.1,205.0,non,240.5
ducati-1199-vs-honda-vtr1000f,ducati-1199,Ducati 1199 Panigale,honda-vtr1000f,Honda VTR 1000 F,Ducati 1199 Panigale ou Honda VTR 1000 F : lequel choisir ?,Sportive,italienne,japonaise,oui,1198.0,996.0,174.2,117.6,192.78,214.1,non,240.0
bmw-r1150gs-vs-moto-guzzi-stelvio,bmw-r1150gs,BMW R1150GS / BMW R1150GS Adventure,moto-guzzi-stelvio,Moto Guzzi Stelvio,BMW R1150GS / BMW R1150GS Adventure ou Moto Guzzi Stelvio : lequel choisir ?,Trail / Aventure,allemande,italienne,oui,1130.0,1151.0,86.2,104.7,229.0,251.0,non,239.7
honda-cb1300-vs-ktm-1290-super-duke-r,honda-cb1300,Honda CB 1300 Super Four,ktm-1290-super-duke-r,KTM 1290 Super Duke R/GT,Honda CB 1300 Super Four ou KTM 1290 Super Duke R/GT : lequel choisir ?,Roadster,japonaise,autrichienne,oui,1284.0,1301.0,101.4,179.5,236.0,195.04,non,238.9
triumph-tiger-sport-800-vs-yamaha-tracer-900,yamaha-tracer-900,Yamaha Tracer 900,triumph-tiger-sport-800,Triumph Tiger Sport 800,Yamaha Tracer 900 ou Triumph Tiger Sport 800 : lequel choisir ?,Routière / GT,japonaise,britannique,oui,847.2,798.0,116.6,114.6,209.56,214.0,non,238.7
aprilia-tuareg-vs-yamaha-tenere-700,yamaha-tenere-700,Yamaha 700 Ténéré,aprilia-tuareg,Aprilia Tuareg,Yamaha 700 Ténéré ou Aprilia Tuareg : lequel choisir ?,Trail / Aventure,japonaise,italienne,oui,689.6,659.0,73.1,80.1,205.0,186.88,non,238.3
suzuki-gsx650f-vs-triumph-tiger-sport-660,suzuki-gsx650f,Suzuki GSX650F,triumph-tiger-sport-660,Triumph Tiger Sport 660,Suzuki GSX650F ou Triumph Tiger Sport 660 : lequel choisir ?,Routière / GT,japonaise,britannique,oui,656.0,660.0,86.2,81.0,,206.0,non,237.7
kawasaki-ninja-650r-vs-suzuki-gsr600,kawasaki-ninja-650r,Kawasaki Ninja 650,suzuki-gsr600,Suzuki GSR 600,Kawasaki Ninja 650 ou Suzuki GSR 600 : lequel choisir ?,Roadster,japonaise,japonaise,non,649.0,599.0,72.1,98.0,211.0,183.0,non,237.1
aprilia-tuareg-vs-bmw-f-800-gs,bmw-f-800-gs,BMW F 800 GS,aprilia-tuareg,Aprilia Tuareg,BMW F 800 GS ou Aprilia Tuareg : lequel choisir ?,Trail / Aventure,allemande,italienne,oui,798.0,659.0,85.0,80.1,182.0,186.88,non,236.8
bmw-r1100s-vs-yamaha-yzf-r9,bmw-r1100s,BMW R 1100 S,yamaha-yzf-r9,Yamaha YZF-R9,BMW R 1100 S ou Yamaha YZF-R9 : lequel choisir ?,Sportive,allemande,japonaise,oui,1085.0,890.0,99.4,119.0,229.0,195.0,non,236.6
mz-skorpion-vs-yamaha-yzf-r7-2022-bike,yamaha-yzf-r7-2022-bike,Yamaha YZF-R7 (2022),mz-skorpion,MZ Skorpion,Yamaha YZF-R7 (2022) ou MZ Skorpion : lequel choisir ?,Sportive,japonaise,allemande,oui,689.6,656.0,73.4,48.7,188.0,188.69,non,236.1
suzuki-gsr600-vs-yamaha-mt-03,yamaha-mt-03,Yamaha MT-03 (2006),suzuki-gsr600,Suzuki GSR 600,Yamaha MT-03 (2006) ou Suzuki GSR 600 : lequel choisir ?,Roadster,japonaise,japonaise,non,660.0,599.0,48.0,98.0,174.0,183.0,non,236.0
triumph-sprint-st-vs-yamaha-tracer-900,yamaha-tracer-900,Yamaha Tracer 900,triumph-sprint-st,Triumph Sprint ST,Yamaha Tracer 900 ou Triumph Sprint ST : lequel choisir ?,Routière / GT,japonaise,britannique,oui,847.2,955.0,116.6,109.5,209.56,229.97,non,235.8
bmw-c1-vs-honda-winner,bmw-c1,BMW C1,honda-winner,Honda Winner,BMW C1 ou Honda Winner : lequel choisir ?,Scooter / Cyclomoteur,allemande,japonaise,oui,124.9,149.16,15.2,16.5,185.0,119.0,oui,235.3
bmw-c1-vs-honda-wave-series,bmw-c1,BMW C1,honda-wave-series,Honda Innova,BMW C1 ou Honda Innova : lequel choisir ?,Scooter / Cyclomoteur,allemande,japonaise,oui,124.9,125.0,15.2,9.3,185.0,101.0,oui,235.2
suzuki-gsr750-vs-yamaha-mt-03,yamaha-mt-03,Yamaha MT-03 (2006),suzuki-gsr750,Suzuki GSR 750,Yamaha MT-03 (2006) ou Suzuki GSR 750 : lequel choisir ?,Roadster,japonaise,japonaise,non,660.0,749.0,48.0,107.4,174.0,213.0,non,234.6
bmw-g650x-series-vs-yamaha-mt-03,yamaha-mt-03,Yamaha MT-03 (2006),bmw-g650x-series,BMW G 650 X,Yamaha MT-03 (2006) ou BMW G 650 X : lequel choisir ?,Roadster,japonaise,allemande,oui,660.0,652.0,48.0,53.0,174.0,144.0,non,233.4
kawasaki-w230-vs-suzuki-gw250,kawasaki-w230,Kawasaki W230,suzuki-gw250,Suzuki GW250,Kawasaki W230 ou Suzuki GW250 : lequel choisir ?,Roadster,japonaise,japonaise,non,233.0,248.0,17.2,21.5,133.0,170.0,oui,233.4
aprilia-tuono-vs-kawasaki-z800,kawasaki-z800,Kawasaki Z800,aprilia-tuono,Aprilia RSV Tuono,Kawasaki Z800 ou Aprilia RSV Tuono : lequel choisir ?,Roadster,japonaise,italienne,oui,806.0,997.62,112.8,125.1,231.0,210.0,non,232.0
bmw-f-850-gs-vs-ktm-990-adventure,ktm-990-adventure,KTM 990 Adventure,bmw-f-850-gs,BMW F 850 GS,KTM 990 Adventure ou BMW F 850 GS : lequel choisir ?,Trail / Aventure,autrichienne,allemande,oui,999.9,853.0,106.1,95.0,209.0,229.0,non,231.4
honda-cb1300-vs-ktm-990-super-duke,honda-cb1300,Honda CB 1300 Super Four,ktm-990-super-duke,KTM 990 Super Duke,Honda CB 1300 Super Four ou KTM 990 Super Duke : lequel choisir ?,Roadster,japonaise,autrichienne,oui,1284.0,999.0,101.4,120.0,236.0,186.0,non,231.3
bmw-r1200gs-vs-honda-crosstourer,bmw-r1200gs,BMW R 1200 GS,honda-crosstourer,Honda Crosstourer,BMW R 1200 GS ou Honda Crosstourer : lequel choisir ?,Trail / Aventure,allemande,japonaise,oui,1170.0,1237.0,110.1,129.2,225.0,277.0,non,231.1
ducati-1199-vs-honda-rc51,ducati-1199,Ducati 1199 Panigale,honda-rc51,Honda VTR 1000,Ducati 1199 Panigale ou Honda VTR 1000 : lequel choisir ?,Sportive,italienne,japonaise,oui,1198.0,999.0,174.2,134.8,192.78,221.81,non,230.8
kawasaki-z900-vs-norton-961-commando,kawasaki-z900,Kawasaki Z900,norton-961-commando,Norton 961/SS Commando,Kawasaki Z900 ou Norton 961/SS Commando : lequel choisir ?,Roadster,japonaise,britannique,oui,948.0,961.0,125.4,81.1,,188.0,non,230.5
honda-crosstourer-vs-ktm-990-adventure,ktm-990-adventure,KTM 990 Adventure,honda-crosstourer,Honda Crosstourer,KTM 990 Adventure ou Honda Crosstourer : lequel choisir ?,Trail / Aventure,autrichienne,japonaise,oui,999.9,1237.0,106.1,129.2,209.0,277.0,non,230.5
kawasaki-versys-650-vs-yamaha-xsr700,kawasaki-versys-650,Kawasaki Versys 650 (2007),yamaha-xsr700,Yamaha XSR700,Kawasaki Versys 650 (2007) ou Yamaha XSR700 : lequel choisir ?,Roadster,japonaise,japonaise,non,649.0,689.6,67.9,74.8,206.0,186.0,non,230.1
aprilia-rs660-vs-yamaha-yzf-r7,aprilia-rs660,Aprilia RS 660,yamaha-yzf-r7,Yamaha YZF-R7 (1999),Aprilia RS 660 ou Yamaha YZF-R7 (1999) : lequel choisir ?,Sportive,italienne,japonaise,oui,659.0,749.0,101.4,107.5,183.0,188.69,non,228.9
honda-crosstourer-vs-triumph-tiger-explorer,honda-crosstourer,Honda Crosstourer,triumph-tiger-explorer,Triumph Tiger Explorer,Honda Crosstourer ou Triumph Tiger Explorer : lequel choisir ?,Trail / Aventure,japonaise,britannique,oui,1237.0,1215.0,129.2,140.9,277.0,242.0,non,228.7
bmw-r1200gs-vs-ktm-1290-super-adventure,bmw-r1200gs,BMW R 1200 GS,ktm-1290-super-adventure,KTM 1290 Super Adventure,BMW R 1200 GS ou KTM 1290 Super Adventure : lequel choisir ?,Trail / Aventure,allemande,autrichienne,oui,1170.0,1301.0,110.1,162.2,225.0,228.61,non,228.1
honda-cl500-vs-kawasaki-ninja-400r,honda-cl500,Honda CL500,kawasaki-ninja-400r,Kawasaki Ninja 400R,Honda CL500 ou Kawasaki Ninja 400R : lequel choisir ?,Roadster,japonaise,japonaise,non,471.0,399.0,46.6,43.5,192.0,203.0,oui,228.0
suzuki-gsr750-vs-triumph-speed-twin-900,suzuki-gsr750,Suzuki GSR 750,triumph-speed-twin-900,Triumph Speed Twin 900,Suzuki GSR 750 ou Triumph Speed Twin 900 : lequel choisir ?,Roadster,japonaise,britannique,oui,749.0,900.0,107.4,65.0,213.0,216.0,non,227.9
ktm-990-super-duke-vs-triumph-speed-twin-900,ktm-990-super-duke,KTM 990 Super Duke,triumph-speed-twin-900,Triumph Speed Twin 900,KTM 990 Super Duke ou Triumph Speed Twin 900 : lequel choisir ?,Roadster,autrichienne,britannique,oui,999.0,900.0,120.0,65.0,186.0,216.0,non,227.9
honda-unicorn-vs-yamaha-mt-15,yamaha-mt-15,Yamaha MT-15,honda-unicorn,Honda Unicorn,Yamaha MT-15 ou Honda Unicorn : lequel choisir ?,Roadster,japonaise,japonaise,non,155.0,162.7,18.4,12.9,,,à vérifier,227.1
buell-blast-vs-honda-cl500,honda-cl500,Honda CL500,buell-blast,Buell Blast,Honda CL500 ou Buell Blast : lequel choisir ?,Roadster,japonaise,américaine,oui,471.0,491.64,46.6,34.5,192.0,180.98,oui,226.8
aprilia-tuono-vs-honda-crossrunner,aprilia-tuono,Aprilia RSV Tuono,honda-crossrunner,Honda Crossrunner,Aprilia RSV Tuono ou Honda Crossrunner : lequel choisir ?,Roadster,italienne,japonaise,oui,997.62,782.0,125.1,101.8,210.0,240.4,non,226.8
ktm-1290-super-adventure-vs-triumph-tiger-explorer,ktm-1290-super-adventure,KTM 1290 Super Adventure,triumph-tiger-explorer,Triumph Tiger Explorer,KTM 1290 Super Adventure ou Triumph Tiger Explorer : lequel choisir ?,Trail / Aventure,autrichienne,britannique,oui,1301.0,1215.0,162.2,140.9,228.61,242.0,non,226.8
aprilia-rs-gp-vs-ducati-desmosedici,aprilia-rs-gp,Aprilia RS-GP,ducati-desmosedici,Ducati Desmosedici GP,Aprilia RS-GP ou Ducati Desmosedici GP : lequel choisir ?,Compétition,italienne,italienne,non,1000.0,1000.0,250.0,290.0,160.0,157.0,non,226.5
buell-blast-vs-royal-enfield-interceptor-650,royal-enfield-interceptor-650,Royal Enfield Interceptor 650,buell-blast,Buell Blast,Royal Enfield Interceptor 650 ou Buell Blast : lequel choisir ?,Roadster,indienne,américaine,oui,648.0,491.64,47.5,34.5,202.0,180.98,oui,226.3
ducati-multistrada-1200-vs-ktm-1290-super-duke-r,ktm-1290-super-duke-r,KTM 1290 Super Duke R/GT,ducati-multistrada-1200,Ducati Multistrada (2010),KTM 1290 Super Duke R/GT ou Ducati Multistrada (2010) : lequel choisir ?,Roadster,autrichienne,italienne,oui,1301.0,1198.0,179.5,152.1,195.04,239.0,non,225.0
aprilia-6-5-moto-vs-royal-enfield-interceptor-650,royal-enfield-interceptor-650,Royal Enfield Interceptor 650,aprilia-6-5-moto,Aprilia 6.5 Motó,Royal Enfield Interceptor 650 ou Aprilia 6.5 Motó : lequel choisir ?,Roadster,indienne,italienne,oui,648.0,649.5,47.5,42.0,202.0,183.0,oui,224.8
bmw-f-850-gs-vs-moto-guzzi-quota,bmw-f-850-gs,BMW F 850 GS,moto-guzzi-quota,Moto Guzzi Quota,BMW F 850 GS ou Moto Guzzi Quota : lequel choisir ?,Trail / Aventure,allemande,italienne,oui,853.0,948.8,95.0,70.0,229.0,,non,223.2
honda-winner-vs-yamaha-mio,honda-winner,Honda Winner,yamaha-mio,Yamaha Mio,Honda Winner ou Yamaha Mio : lequel choisir ?,Scooter / Cyclomoteur,japonaise,japonaise,non,149.16,113.7,16.5,8.1,119.0,90.0,oui,222.6
hyosung-gv650-vs-moto-guzzi-v9,moto-guzzi-v9,Moto Guzzi V9,hyosung-gv650,Hyosung GV650 Aquila,Moto Guzzi V9 ou Hyosung GV650 Aquila : lequel choisir ?,Custom / Cruiser,italienne,coréenne,oui,853.0,647.0,55.8,73.0,200.0,232.0,non,222.5
honda-crossrunner-vs-yamaha-xsr700,yamaha-xsr700,Yamaha XSR700,honda-crossrunner,Honda Crossrunner,Yamaha XSR700 ou Honda Crossrunner : lequel choisir ?,Roadster,japonaise,japonaise,non,689.6,782.0,74.8,101.8,186.0,240.4,non,222.3
aprilia-tuono-vs-ariel-ace,aprilia-tuono,Aprilia RSV Tuono,ariel-ace,Ariel Ace,Aprilia RSV Tuono ou Ariel Ace : lequel choisir ?,Roadster,italienne,britannique,oui,997.62,1237.0,125.1,175.4,210.0,230.0,non,220.2
triumph-tiger-sport-800-vs-yamaha-tdm-900,yamaha-tdm-900,Yamaha TDM 900,triumph-tiger-sport-800,Triumph Tiger Sport 800,Yamaha TDM 900 ou Triumph Tiger Sport 800 : lequel choisir ?,Routière / GT,japonaise,britannique,oui,897.0,798.0,87.2,114.6,222.71,214.0,non,220.2
ariel-ace-vs-ktm-1290-super-duke-r,ktm-1290-super-duke-r,KTM 1290 Super Duke R/GT,ariel-ace,Ariel Ace,KTM 1290 Super Duke R/GT ou Ariel Ace : lequel choisir ?,Roadster,autrichienne,britannique,oui,1301.0,1237.0,179.5,175.4,195.04,230.0,non,219.7
suzuki-gsx650f-vs-triumph-tiger-sport-800,suzuki-gsx650f,Suzuki GSX650F,triumph-tiger-sport-800,Triumph Tiger Sport 800,Suzuki GSX650F ou Triumph Tiger Sport 800 : lequel choisir ?,Routière / GT,japonaise,britannique,oui,656.0,798.0,86.2,114.6,,214.0,non,219.7
aprilia-rs660-vs-yamaha-thundercat,aprilia-rs660,Aprilia RS 660,yamaha-thundercat,Yamaha YZF600R,Aprilia RS 660 ou Yamaha YZF600R : lequel choisir ?,Sportive,italienne,japonaise,oui,659.0,599.0,101.4,102.0,183.0,,non,219.4
honda-cb600f-vs-suzuki-gsr600,honda-cb600f,Honda CB600F/Hornet/599,suzuki-gsr600,Suzuki GSR 600,Honda CB600F/Hornet/599 ou Suzuki GSR 600 : lequel choisir ?,Roadster,japonaise,japonaise,non,599.0,599.0,96.0,98.0,176.0,183.0,non,219.1
aprilia-rs457-vs-yamaha-thundercat,aprilia-rs457,Aprilia RS457,yamaha-thundercat,Yamaha YZF600R,Aprilia RS457 ou Yamaha YZF600R : lequel choisir ?,Sportive,italienne,japonaise,oui,457.0,599.0,47.6,102.0,175.0,,non,218.4
aprilia-rs660-vs-kawasaki-zx-6-and-zzr600,aprilia-rs660,Aprilia RS 660,kawasaki-zx-6-and-zzr600,Kawasaki ZX-6/ZZR600,Aprilia RS 660 ou Kawasaki ZX-6/ZZR600 : lequel choisir ?,Sportive,italienne,japonaise,oui,659.0,599.0,101.4,100.4,183.0,,non,218.1
bmw-hp4-race-vs-ktm-1190-rc8,ktm-1190-rc8,KTM RC8,bmw-hp4-race,BMW HP4 Race,KTM RC8 ou BMW HP4 Race : lequel choisir ?,Sportive,autrichienne,allemande,oui,1195.0,999.0,,,,171.0,,217.4
aprilia-rs457-vs-kawasaki-zx-6-and-zzr600,aprilia-rs457,Aprilia RS457,kawasaki-zx-6-and-zzr600,Kawasaki ZX-6/ZZR600,Aprilia RS457 ou Kawasaki ZX-6/ZZR600 : lequel choisir ?,Sportive,italienne,japonaise,oui,457.0,599.0,47.6,100.4,175.0,,non,217.2
bmw-g650x-series-vs-honda-cb600f,honda-cb600f,Honda CB600F/Hornet/599,bmw-g650x-series,BMW G 650 X,Honda CB600F/Hornet/599 ou BMW G 650 X : lequel choisir ?,Roadster,japonaise,allemande,oui,599.0,652.0,96.0,53.0,176.0,144.0,non,216.5
bmw-g650x-series-vs-suzuki-gsr600,suzuki-gsr600,Suzuki GSR 600,bmw-g650x-series,BMW G 650 X,Suzuki GSR 600 ou BMW G 650 X : lequel choisir ?,Roadster,japonaise,allemande,oui,599.0,652.0,98.0,53.0,183.0,144.0,non,216.5
aprilia-tuareg-vs-honda-xr-650r,aprilia-tuareg,Aprilia Tuareg,honda-xr-650r,Honda XR 650R,Aprilia Tuareg ou Honda XR 650R : lequel choisir ?,Trail / Aventure,italienne,japonaise,oui,659.0,649.0,80.1,61.2,186.88,122.0,non,216.2
honda-crossrunner-vs-norton-961-commando,honda-crossrunner,Honda Crossrunner,norton-961-commando,Norton 961/SS Commando,Honda Crossrunner ou Norton 961/SS Commando : lequel choisir ?,Roadster,japonaise,britannique,oui,782.0,961.0,101.8,81.1,240.4,188.0,non,214.5
peugeot-satelis-compressor-vs-yamaha-nmax,yamaha-nmax,Yamaha NMAX,peugeot-satelis-compressor,Peugeot Satelis Compressor,Yamaha NMAX ou Peugeot Satelis Compressor : lequel choisir ?,Scooter / Cyclomoteur,japonaise,française,oui,124.7,125.0,,,,,,213.8
kawasaki-z800-vs-norton-961-commando,kawasaki-z800,Kawasaki Z800,norton-961-commando,Norton 961/SS Commando,Kawasaki Z800 ou Norton 961/SS Commando : lequel choisir ?,Roadster,japonaise,britannique,oui,806.0,961.0,112.8,81.1,231.0,188.0,non,213.1
kawasaki-vulcan-900-classic-vs-yamaha-bolt,kawasaki-vulcan-900-classic,Kawasaki Vulcan 900 Classic,yamaha-bolt,Yamaha Bolt,Kawasaki Vulcan 900 Classic ou Yamaha Bolt : lequel choisir ?,Custom / Cruiser,japonaise,japonaise,non,903.0,942.0,,,253.0,244.94,,212.8
ducati-desmosedici-vs-honda-rc212v,ducati-desmosedici,Ducati Desmosedici GP,honda-rc212v,Honda RC212V,Ducati Desmosedici GP ou Honda RC212V : lequel choisir ?,Compétition,italienne,japonaise,oui,1000.0,800.0,290.0,207.0,157.0,148.0,non,212.4
bmw-g650x-series-vs-yamaha-xsr700,bmw-g650x-series,BMW G 650 X,yamaha-xsr700,Yamaha XSR700,BMW G 650 X ou Yamaha XSR700 : lequel choisir ?,Roadster,allemande,japonaise,oui,652.0,689.6,53.0,74.8,144.0,186.0,non,212.1
honda-cb600f-vs-yamaha-xsr700,honda-cb600f,Honda CB600F/Hornet/599,yamaha-xsr700,Yamaha XSR700,Honda CB600F/Hornet/599 ou Yamaha XSR700 : lequel choisir ?,Roadster,japonaise,japonaise,non,599.0,689.6,96.0,74.8,176.0,186.0,non,211.6
suzuki-gsr600-vs-yamaha-xsr700,suzuki-gsr600,Suzuki GSR 600,yamaha-xsr700,Yamaha XSR700,Suzuki GSR 600 ou Yamaha XSR700 : lequel choisir ?,Roadster,japonaise,japonaise,non,599.0,689.6,98.0,74.8,183.0,186.0,non,211.6
bmw-r1200gs-vs-triumph-tiger-explorer,bmw-r1200gs,BMW R 1200 GS,triumph-tiger-explorer,Triumph Tiger Explorer,BMW R 1200 GS ou Triumph Tiger Explorer : lequel choisir ?,Trail / Aventure,allemande,britannique,oui,1170.0,1215.0,110.1,140.9,225.0,242.0,non,211.2
hyosung-gt250-vs-suzuki-gw250,suzuki-gw250,Suzuki GW250,hyosung-gt250,Hyosung GT250R,Suzuki GW250 ou Hyosung GT250R : lequel choisir ?,Roadster,japonaise,coréenne,oui,248.0,249.0,21.5,28.4,170.0,187.7,oui,211.1
ducati-1098-vs-kawasaki-ninja-zx-12r,ducati-1098,Ducati 1098/1198,kawasaki-ninja-zx-12r,Kawasaki ZX-12R,Ducati 1098/1198 ou Kawasaki ZX-12R : lequel choisir ?,Sportive,italienne,japonaise,oui,1099.0,1199.0,182.5,181.0,173.0,247.21,non,210.7
ktm-990-adventure-vs-triumph-tiger-explorer,ktm-990-adventure,KTM 990 Adventure,triumph-tiger-explorer,Triumph Tiger Explorer,KTM 990 Adventure ou Triumph Tiger Explorer : lequel choisir ?,Trail / Aventure,autrichienne,britannique,oui,999.9,1215.0,106.1,140.9,209.0,242.0,non,210.7
suzuki-gsx650f-vs-yamaha-tracer-900,yamaha-tracer-900,Yamaha Tracer 900,suzuki-gsx650f,Suzuki GSX650F,Yamaha Tracer 900 ou Suzuki GSX650F : lequel choisir ?,Routière / GT,japonaise,japonaise,non,847.2,656.0,116.6,86.2,209.56,,non,210.6
honda-valkyrie-vs-yamaha-mt-01,yamaha-mt-01,Yamaha MT-01,honda-valkyrie,Honda Valkyrie,Yamaha MT-01 ou Honda Valkyrie : lequel choisir ?,Custom / Cruiser,japonaise,japonaise,non,1670.0,1520.0,90.1,101.4,265.0,327.0,non,209.7
honda-cbr-vs-yamaha-yzf-r7-2022-bike,yamaha-yzf-r7-2022-bike,Yamaha YZF-R7 (2022),honda-cbr,Honda CBR900RR Fireblade,Yamaha YZF-R7 (2022) ou Honda CBR900RR Fireblade : lequel choisir ?,Sportive,japonaise,japonaise,non,689.6,893.0,73.4,124.0,188.0,185.0,non,209.4
bmw-c600-sport-and-c650gt-vs-honda-silver-wing-600,honda-silver-wing-600,Honda SilverWing 600,bmw-c600-sport-and-c650gt,BMW C600 Sport and C650GT,Honda SilverWing 600 ou BMW C600 Sport and C650GT : lequel choisir ?,Scooter / Cyclomoteur,japonaise,allemande,oui,582.0,647.0,50.3,60.8,249.93,261.0,non,208.6
bmw-r1150gs-vs-ktm-1290-super-adventure,bmw-r1150gs,BMW R1150GS / BMW R1150GS Adventure,ktm-1290-super-adventure,KTM 1290 Super Adventure,BMW R1150GS / BMW R1150GS Adventure ou KTM 1290 Super Adventure : lequel choisir ?,Trail / Aventure,allemande,autrichienne,oui,1130.0,1301.0,86.2,162.2,229.0,228.61,non,207.6
aprilia-tuareg-vs-yamaha-tdm850,aprilia-tuareg,Aprilia Tuareg,yamaha-tdm850,Yamaha TDM 850,Aprilia Tuareg ou Yamaha TDM 850 : lequel choisir ?,Trail / Aventure,italienne,japonaise,oui,659.0,849.3,80.1,78.1,186.88,,non,206.5
honda-crossrunner-vs-kawasaki-versys-650,kawasaki-versys-650,Kawasaki Versys 650 (2007),honda-crossrunner,Honda Crossrunner,Kawasaki Versys 650 (2007) ou Honda Crossrunner : lequel choisir ?,Roadster,japonaise,japonaise,non,649.0,782.0,67.9,101.8,206.0,240.4,non,206.2
triumph-daytona-650-vs-yamaha-yzf-r7-2022-bike,yamaha-yzf-r7-2022-bike,Yamaha YZF-R7 (2022),triumph-daytona-650,Triumph Daytona 650,Yamaha YZF-R7 (2022) ou Triumph Daytona 650 : lequel choisir ?,Sportive,japonaise,britannique,oui,689.6,646.0,73.4,115.6,188.0,165.0,non,205.6
honda-crossrunner-vs-kawasaki-z800,kawasaki-z800,Kawasaki Z800,honda-crossrunner,Honda Crossrunner,Kawasaki Z800 ou Honda Crossrunner : lequel choisir ?,Roadster,japonaise,japonaise,non,806.0,782.0,112.8,101.8,231.0,240.4,non,204.8
ducati-1098-vs-honda-vtr1000f,ducati-1098,Ducati 1098/1198,honda-vtr1000f,Honda VTR 1000 F,Ducati 1098/1198 ou Honda VTR 1000 F : lequel choisir ?,Sportive,italienne,japonaise,oui,1099.0,996.0,182.5,117.6,173.0,214.1,non,202.5
ariel-ace-vs-honda-cb1300,honda-cb1300,Honda CB 1300 Super Four,ariel-ace,Ariel Ace,Honda CB 1300 Super Four ou Ariel Ace : lequel choisir ?,Roadster,japonaise,britannique,oui,1284.0,1237.0,101.4,175.4,236.0,230.0,non,201.7
ariel-ace-vs-ducati-multistrada-1200,ducati-multistrada-1200,Ducati Multistrada (2010),ariel-ace,Ariel Ace,Ducati Multistrada (2010) ou Ariel Ace : lequel choisir ?,Roadster,italienne,britannique,oui,1198.0,1237.0,152.1,175.4,239.0,230.0,non,201.7
moto-guzzi-v100-mandello-vs-triumph-speedmaster,moto-guzzi-v100-mandello,Moto Guzzi V100 Mandello,triumph-speedmaster,Triumph Speedmaster,Moto Guzzi V100 Mandello ou Triumph Speedmaster : lequel choisir ?,Custom / Cruiser,italienne,britannique,oui,1042.0,790.0,117.6,53.8,233.0,263.08,non,201.6
aprilia-rs457-vs-honda-rvf400,aprilia-rs457,Aprilia RS457,honda-rvf400,Honda RVF400,Aprilia RS457 ou Honda RVF400 : lequel choisir ?,Sportive,italienne,japonaise,oui,457.0,399.0,47.6,59.8,175.0,165.0,non,201.1
honda-jade-motorcycle-vs-kawasaki-w230,kawasaki-w230,Kawasaki W230,honda-jade-motorcycle,Honda Jade,Kawasaki W230 ou Honda Jade : lequel choisir ?,Roadster,japonaise,japonaise,non,233.0,249.0,17.2,40.6,133.0,161.0,oui,198.9
ariel-ace-vs-kawasaki-zrx1200r,kawasaki-zrx1200r,Kawasaki ZRX1200R,ariel-ace,Ariel Ace,Kawasaki ZRX1200R ou Ariel Ace : lequel choisir ?,Roadster,japonaise,britannique,oui,1164.0,1237.0,123.7,175.4,247.0,230.0,non,198.7
aprilia-rs457-vs-triumph-daytona-600,aprilia-rs457,Aprilia RS457,triumph-daytona-600,Triumph Daytona 600,Aprilia RS457 ou Triumph Daytona 600 : lequel choisir ?,Sportive,italienne,britannique,oui,457.0,599.0,47.6,111.5,175.0,165.0,non,198.2
honda-xrm-vs-yamaha-nmax,yamaha-nmax,Yamaha NMAX,honda-xrm,Honda XRM,Yamaha NMAX ou Honda XRM : lequel choisir ?,Scooter / Cyclomoteur,japonaise,japonaise,non,124.7,125.0,,,,94.2,,198.1
ariel-ace-vs-norton-961-commando,norton-961-commando,Norton 961/SS Commando,ariel-ace,Ariel Ace,Norton 961/SS Commando ou Ariel Ace : lequel choisir ?,Roadster,britannique,britannique,non,961.0,1237.0,81.1,175.4,188.0,230.0,non,197.7
ducati-multistrada-1200-vs-norton-961-commando,ducati-multistrada-1200,Ducati Multistrada (2010),norton-961-commando,Norton 961/SS Commando,Ducati Multistrada (2010) ou Norton 961/SS Commando : lequel choisir ?,Roadster,italienne,britannique,oui,1198.0,961.0,152.1,81.1,239.0,188.0,non,196.5
